listing_id,property_id,city,state,locality,property_type,bhk,bedrooms,bathrooms,carpet_area_sqft,built_up_area_sqft,super_built_up_sqft,price_per_sqft,total_price_inr,total_price_lakh,furnishing_status,possession_status,floor_number,total_floors,age_of_property_years,facing,amenities_count,amenities,builder_name,transaction_type,listing_date,days_on_market,price_negotiable,loan_available,parking_count,rera_registered,listing_source
RES100027,PROP505863,Visakhapatnam,Andhra Pradesh,Zone I,Row House,3,3,4,1744,2006,2180,4672,8100000,81,Furnished,Under Construction,30,31,3,North,4,Swimming Pool|Lift|Children Play Area|Power Backup,Mahindra Lifespaces,Resale,24-07-2023,208,Yes,Yes,2,Yes,NoBroker
RES100028,PROP504530,Pune,Maharashtra,Undri,Penthouse,1,1,2,1657,1906,2071,8786,14600000,146,Furnished,Under Construction,4,31,6,North-West,8,Gym|Jogging Track|Children Play Area|Car Parking|Club House|Swimming Pool|Lift|Power Backup,Lodha Group,New Property,17-05-2022,64,Yes,Yes,1,Yes,99acres
RES100029,PROP503496,Bangalore,Karnataka,JP Nagar,Penthouse,3,3,4,2038,2344,2548,6989,14200000,142,Furnished,Ready to Move,11,21,6,North,4,Power Backup|Lift|Children Play Area|Garden,Emaar India,New Property,13-05-2025,398,No,Yes,0,Yes,99acres
RES100030,PROP502507,Mumbai,Maharashtra,Malad,Row House,1,1,2,1460,1679,1825,21246,31000000,310,Semi-Furnished,Under Construction,7,25,5,North-East,3,Swimming Pool|Lift|Jogging Track,Godrej Properties,New Property,08-02-2024,225,Yes,Yes,2,No,Housing.com
RES100031,PROP505810,Ahmedabad,Gujarat,Chandkheda,Penthouse,2,2,3,1864,2144,2330,3978,7400000,74,Furnished,New Launch,5,17,8,East,6,Car Parking|Gym|Club House|Power Backup|Lift|Children Play Area,Lodha Group,Resale,15-08-2025,288,Yes,Yes,1,No,Owner
RES100032,PROP503093,Pune,Maharashtra,Kalyani Nagar,Row House,2,2,3,1517,1745,1896,7415,11200000,112,Furnished,Ready to Move,5,7,0,East,5,Children Play Area|Club House|Power Backup|Swimming Pool|Jogging Track,Emaar India,New Property,30-07-2022,343,Yes,Yes,1,Yes,Owner
RES100033,PROP502958,Jaipur,Rajasthan,Vaishali Nagar,Apartment,3,3,4,2150,2472,2688,3967,8500000,85,Furnished,New Launch,1,19,21,North,6,Lift|Jogging Track|Garden|24x7 Security|Children Play Area|Club House,Phoenix Mills,New Property,15-07-2023,299,Yes,Yes,1,Yes,Housing.com
RES100034,PROP501751,Surat,Gujarat,Althan,Builder Floor,5,5,5,2560,2944,3200,3817,9800000,98,Unfurnished,New Launch,12,12,2,North-East,3,Swimming Pool|Jogging Track|Club House,Omaxe,New Property,01-04-2023,177,Yes,Yes,2,Yes,Owner
RES100035,PROP502707,Hyderabad,Telangana,Kondapur,Builder Floor,2,2,3,1850,2128,2312,7766,14400000,144,Unfurnished,Ready to Move,13,25,9,South,8,Swimming Pool|24x7 Security|Club House|Garden|Gym|Children Play Area|Car Parking|Power Backup,Hiranandani,Resale,01-10-2025,247,No,Yes,0,No,Housing.com
RES100036,PROP505728,Mumbai,Maharashtra,Borivali,Row House,4,4,5,2273,2614,2841,17001,38600000,386,Semi-Furnished,Under Construction,15,15,14,North-West,3,24x7 Security|Car Parking|Gym,Brigade Group,New Property,26-04-2022,264,No,Yes,1,Yes,99acres
RES100037,PROP503382,Patna,Bihar,Zone A,Independent House,5,5,5,2826,3250,3532,4270,12100000,121,Unfurnished,Ready to Move,19,32,12,North-East,5,Club House|Car Parking|24x7 Security|Gym|Children Play Area,Lodha Group,Resale,01-05-2024,201,No,Yes,1,No,99acres
RES100038,PROP505247,Coimbatore,Tamil Nadu,Zone B,Penthouse,1,1,2,1439,1655,1799,3111,4500000,45,Semi-Furnished,Under Construction,21,36,7,North,5,Children Play Area|Power Backup|Club House|Gym|Swimming Pool,Omaxe,Resale,24-06-2024,222,Yes,Yes,0,No,99acres
RES100039,PROP502755,Chandigarh,Chandigarh,Zone B,Studio,3,3,4,2017,2320,2521,4078,8200000,82,Unfurnished,Under Construction,36,36,17,South,8,Children Play Area|Power Backup|Car Parking|Jogging Track|Swimming Pool|Gym|Lift|Garden,Godrej Properties,New Property,20-04-2024,290,Yes,Yes,1,Yes,Owner
RES100040,PROP504028,Nagpur,Maharashtra,Zone J,Builder Floor,2,2,3,1698,1953,2122,3556,6000000,60,Furnished,Ready to Move,14,36,0,North-East,4,Lift|24x7 Security|Garden|Club House,Brigade Group,Resale,14-12-2023,244,Yes,Yes,1,Yes,99acres
RES100041,PROP502991,Bhopal,Madhya Pradesh,Zone B,Penthouse,3,3,4,1738,1999,2172,3875,6700000,67,Unfurnished,New Launch,4,4,6,South,7,Jogging Track|Power Backup|Lift|Swimming Pool|Car Parking|24x7 Security|Gym,Mahindra Lifespaces,Resale,07-07-2024,209,Yes,No,2,No,99acres
RES100042,PROP504661,Lucknow,Uttar Pradesh,Zone I,Penthouse,3,3,4,2261,2600,2826,3452,7800000,78,Unfurnished,New Launch,6,21,15,West,5,Children Play Area|Gym|Club House|Garden|Car Parking,Omaxe,New Property,17-09-2025,289,No,Yes,0,Yes,Owner
RES100043,PROP503683,Chennai,Tamil Nadu,Perambur,Penthouse,2,2,3,1816,2088,2270,7646,13900000,139,Semi-Furnished,New Launch,3,5,21,South-West,3,Club House|Car Parking|Lift,Omaxe,Resale,08-08-2022,337,No,Yes,1,Yes,NoBroker
RES100044,PROP502631,Ahmedabad,Gujarat,Paldi,Villa,2,2,3,1576,1812,1970,4151,6500000,65,Furnished,Ready to Move,1,2,1,West,5,Club House|Swimming Pool|Lift|Gym|Children Play Area,Tata Housing,Resale,11-02-2022,117,Yes,No,0,No,Housing.com
RES100045,PROP505393,Coimbatore,Tamil Nadu,Zone E,Villa,4,4,5,2606,2997,3258,3966,10300000,103,Unfurnished,Ready to Move,4,10,14,South,3,Power Backup|Garden|Gym,Sobha Limited,New Property,22-08-2022,203,No,Yes,1,Yes,NoBroker
RES100046,PROP503543,Indore,Madhya Pradesh,Zone J,Studio,2,2,3,1707,1963,2134,4377,7500000,75,Furnished,New Launch,2,7,14,East,8,Power Backup|Car Parking|Gym|Jogging Track|24x7 Security|Club House|Swimming Pool|Children Play Area,Prestige Group,New Property,11-01-2022,185,Yes,Yes,0,No,NoBroker
RES100047,PROP500131,Chandigarh,Chandigarh,Zone D,Row House,2,2,3,1561,1795,1951,4809,7500000,75,Semi-Furnished,Ready to Move,1,5,15,South-West,3,Club House|Swimming Pool|Jogging Track,Hiranandani,New Property,08-01-2025,133,Yes,Yes,1,No,Housing.com
RES100048,PROP504571,Hyderabad,Telangana,Kondapur,Studio,1,1,2,1400,1610,1750,8023,11200000,112,Semi-Furnished,Under Construction,2,2,7,North-West,5,Power Backup|Garden|Gym|Children Play Area|Swimming Pool,Prestige Group,Resale,03-03-2025,189,Yes,Yes,1,No,NoBroker
RES100049,PROP503573,Nagpur,Maharashtra,Zone A,Builder Floor,3,3,4,2447,2814,3059,3799,9300000,93,Semi-Furnished,New Launch,7,15,21,West,4,Children Play Area|Garden|Power Backup|Swimming Pool,Kolte Patil,New Property,22-03-2024,168,Yes,No,0,No,Owner
RES100050,PROP505088,Patna,Bihar,Zone I,Builder Floor,1,1,2,1328,1527,1660,4142,5500000,55,Unfurnished,New Launch,4,8,5,East,8,Power Backup|Garden|Lift|Car Parking|Swimming Pool|Children Play Area|Club House|Jogging Track,Phoenix Mills,Resale,27-07-2024,178,Yes,No,1,Yes,99acres
RES100051,PROP504280,Bangalore,Karnataka,Electronic City,Independent House,1,1,2,1584,1822,1980,7929,12600000,126,Unfurnished,Ready to Move,1,4,0,North-East,8,Gym|Children Play Area|Jogging Track|Swimming Pool|Lift|24x7 Security|Car Parking|Garden,Prestige Group,New Property,05-02-2025,130,Yes,Yes,2,No,Housing.com
RES100052,PROP503272,Hyderabad,Telangana,Madhapur,Independent House,3,3,4,1673,1924,2091,7654,12800000,128,Unfurnished,Under Construction,5,40,7,North-West,7,Garden|Jogging Track|Swimming Pool|Gym|Children Play Area|24x7 Security|Lift,Brigade Group,Resale,08-07-2025,365,Yes,Yes,1,No,99acres
RES100053,PROP500709,Bangalore,Karnataka,Whitefield,Row House,3,3,4,2132,2452,2665,6427,13700000,137,Unfurnished,New Launch,11,29,19,West,4,Swimming Pool|Lift|Garden|Power Backup,DLF,Resale,07-10-2024,46,Yes,Yes,1,Yes,NoBroker
RES100054,PROP500775,Kochi,Kerala,Zone F,Independent House,3,3,4,2165,2490,2706,4016,8700000,87,Unfurnished,Under Construction,13,28,10,South-East,5,Swimming Pool|Power Backup|Garden|Lift|Gym,Phoenix Mills,New Property,14-01-2024,44,No,No,1,Yes,99acres
RES100055,PROP505693,Bhopal,Madhya Pradesh,Zone H,Studio,4,4,5,2176,2502,2720,3445,7500000,75,Unfurnished,Under Construction,5,21,22,West,6,Lift|Children Play Area|Garden|Power Backup|24x7 Security|Swimming Pool,Lodha Group,New Property,07-09-2025,55,Yes,No,1,Yes,MagicBricks
RES100056,PROP501592,Lucknow,Uttar Pradesh,Zone J,Row House,5,5,5,2503,2878,3129,3111,7800000,78,Furnished,Under Construction,4,16,23,South-East,5,24x7 Security|Jogging Track|Club House|Gym|Children Play Area,DLF,New Property,18-04-2023,226,Yes,Yes,1,No,99acres
RES100057,PROP500779,Indore,Madhya Pradesh,Zone A,Villa,2,2,3,1604,1845,2005,3312,5300000,53,Semi-Furnished,Under Construction,1,21,3,South,3,Power Backup|Gym|Car Parking,Sobha Limited,Resale,06-06-2023,267,Yes,No,2,No,Owner
RES100058,PROP503289,Pune,Maharashtra,Pashan,Row House,4,4,5,2770,3185,3462,8584,23800000,238,Unfurnished,Under Construction,10,39,0,North-West,6,Children Play Area|24x7 Security|Swimming Pool|Gym|Jogging Track|Garden,Lodha Group,New Property,22-03-2022,19,Yes,No,1,No,Owner
RES100059,PROP502206,Chandigarh,Chandigarh,Zone G,Penthouse,3,3,4,2043,2349,2554,3595,7300000,73,Furnished,Under Construction,6,8,21,South-West,3,Swimming Pool|Children Play Area|Jogging Track,Hiranandani,New Property,03-10-2022,6,Yes,Yes,2,Yes,Owner
RES100060,PROP504634,Kolkata,West Bengal,Howrah,Penthouse,3,3,4,2208,2539,2760,10898,24100000,241,Semi-Furnished,New Launch,16,28,4,North-West,3,Swimming Pool|Jogging Track|Club House,Lodha Group,Resale,09-12-2023,84,Yes,Yes,2,Yes,MagicBricks
RES100061,PROP505246,Chandigarh,Chandigarh,Zone J,Builder Floor,1,1,2,1686,1939,2108,3709,6300000,63,Furnished,Under Construction,32,36,15,North,7,Jogging Track|24x7 Security|Car Parking|Club House|Lift|Swimming Pool|Power Backup,Raymond Realty,New Property,17-04-2024,88,Yes,No,1,Yes,Owner
RES100062,PROP503461,Chandigarh,Chandigarh,Zone A,Penthouse,3,3,4,1960,2254,2450,3290,6400000,64,Semi-Furnished,Under Construction,17,30,0,North-East,5,Gym|Jogging Track|24x7 Security|Lift|Children Play Area,Shapoorji Pallonji,New Property,13-04-2022,370,Yes,Yes,1,No,MagicBricks
RES100063,PROP503551,Bangalore,Karnataka,Indiranagar,Villa,3,3,4,1909,2195,2386,7313,14000000,140,Unfurnished,Under Construction,12,31,14,North,4,Car Parking|Jogging Track|Power Backup|Children Play Area,DLF,New Property,28-08-2022,194,Yes,Yes,0,Yes,Housing.com
RES100064,PROP501740,Hyderabad,Telangana,Madhapur,Villa,4,4,5,2184,2512,2730,8371,18300000,183,Furnished,New Launch,4,8,0,South-West,4,Swimming Pool|Children Play Area|Garden|Gym,DLF,Resale,21-11-2024,272,Yes,Yes,0,No,MagicBricks
RES100065,PROP504414,Hyderabad,Telangana,HITEC City,Villa,2,2,3,1302,1497,1628,7314,9500000,95,Unfurnished,Ready to Move,1,3,8,East,7,Car Parking|Power Backup|Club House|Children Play Area|Gym|Jogging Track|Garden,Hiranandani,Resale,24-11-2025,386,Yes,Yes,1,Yes,NoBroker
RES100066,PROP502936,Pune,Maharashtra,Viman Nagar,Builder Floor,3,3,4,2099,2414,2624,8053,16900000,169,Furnished,Under Construction,24,27,6,North,8,Children Play Area|24x7 Security|Power Backup|Swimming Pool|Garden|Car Parking|Jogging Track|Gym,Brigade Group,New Property,07-05-2025,102,Yes,Yes,2,Yes,MagicBricks
RES100067,PROP505196,Bangalore,Karnataka,Indiranagar,Apartment,3,3,4,2092,2406,2615,6551,13700000,137,Unfurnished,Under Construction,4,35,23,North-West,3,Lift|Garden|Gym,Sobha Limited,New Property,09-06-2023,140,Yes,Yes,1,Yes,MagicBricks
RES100068,PROP503811,Coimbatore,Tamil Nadu,Zone F,Penthouse,2,2,3,1674,1925,2092,3564,6000000,60,Semi-Furnished,Under Construction,8,9,17,East,5,Gym|Lift|Children Play Area|Power Backup|Garden,Prestige Group,New Property,30-11-2023,302,Yes,No,1,Yes,Housing.com
RES100069,PROP501603,Nagpur,Maharashtra,Zone G,Penthouse,1,1,2,1158,1332,1448,3611,4200000,42,Semi-Furnished,Ready to Move,23,26,0,North-East,7,Lift|Car Parking|Power Backup|24x7 Security|Jogging Track|Garden|Club House,Godrej Properties,New Property,11-05-2022,281,No,Yes,2,Yes,MagicBricks
RES100070,PROP505259,Patna,Bihar,Zone I,Independent House,2,2,3,2017,2320,2521,5190,10500000,105,Unfurnished,Ready to Move,8,26,17,South-East,3,Lift|Car Parking|Jogging Track,Emaar India,Resale,23-04-2025,45,Yes,Yes,2,No,MagicBricks
RES100071,PROP503231,Surat,Gujarat,Adajan,Row House,4,4,5,2345,2697,2931,3701,8700000,87,Unfurnished,New Launch,13,17,18,East,4,Car Parking|Garden|Power Backup|Children Play Area,DLF,New Property,21-07-2024,380,Yes,No,1,No,Housing.com
RES100072,PROP500577,Bangalore,Karnataka,Sarjapur,Villa,3,3,4,2058,2367,2572,8559,17600000,176,Furnished,Ready to Move,5,32,22,South-West,6,Children Play Area|24x7 Security|Swimming Pool|Gym|Garden|Power Backup,Lodha Group,New Property,12-04-2022,363,Yes,Yes,2,No,99acres
RES100073,PROP500507,Chennai,Tamil Nadu,Perambur,Villa,2,2,3,1643,1889,2054,5556,9100000,91,Semi-Furnished,New Launch,25,30,10,West,4,Lift|Jogging Track|Club House|Swimming Pool,Tata Housing,New Property,15-09-2025,35,Yes,Yes,1,No,MagicBricks
RES100074,PROP504367,Mumbai,Maharashtra,Bandra,Independent House,2,2,3,1766,2031,2208,18801,33200000,332,Semi-Furnished,Under Construction,5,26,3,West,8,Lift|24x7 Security|Children Play Area|Swimming Pool|Club House|Power Backup|Car Parking|Jogging Track,Lodha Group,Resale,02-03-2023,34,Yes,Yes,1,Yes,Owner
RES100075,PROP502412,Surat,Gujarat,Adajan,Builder Floor,3,3,4,1836,2111,2295,4162,7600000,76,Semi-Furnished,Under Construction,6,34,2,South-West,4,Lift|Power Backup|Children Play Area|Gym,Mahindra Lifespaces,New Property,28-09-2023,196,Yes,No,1,No,NoBroker
RES100076,PROP504432,Chandigarh,Chandigarh,Zone F,Row House,2,2,3,1883,2165,2354,2959,5600000,56,Furnished,Ready to Move,11,18,9,South,5,Power Backup|Swimming Pool|Lift|Jogging Track|Club House,Mahindra Lifespaces,New Property,14-03-2025,373,No,Yes,2,Yes,MagicBricks
RES100077,PROP504737,Kochi,Kerala,Zone D,Villa,1,1,2,1555,1788,1944,3153,4900000,49,Furnished,Ready to Move,2,13,0,West,8,Garden|Car Parking|Club House|Jogging Track|Swimming Pool|Power Backup|24x7 Security|Lift,Emaar India,New Property,28-10-2023,51,Yes,No,2,Yes,99acres
RES100078,PROP505544,Mumbai,Maharashtra,Thane,Studio,2,2,3,1681,1933,2101,18426,31000000,310,Unfurnished,Ready to Move,1,9,7,South,3,Car Parking|Swimming Pool|Power Backup,Mahindra Lifespaces,New Property,03-11-2024,22,No,No,1,Yes,Owner
RES100079,PROP502682,Chandigarh,Chandigarh,Zone G,Villa,5,5,5,2693,3097,3366,4159,11200000,112,Furnished,Ready to Move,3,10,16,South-West,4,Power Backup|Children Play Area|Garden|24x7 Security,Emaar India,Resale,09-10-2023,216,No,No,1,Yes,99acres
RES100080,PROP503673,Bhopal,Madhya Pradesh,Zone I,Row House,4,4,5,2382,2739,2978,4335,10300000,103,Semi-Furnished,Under Construction,18,37,8,South-West,3,Children Play Area|Gym|24x7 Security,Emaar India,New Property,01-06-2022,255,Yes,Yes,2,No,NoBroker
RES100081,PROP501149,Bhopal,Madhya Pradesh,Zone E,Independent House,2,2,3,1555,1788,1944,3593,5600000,56,Furnished,New Launch,8,10,14,North-West,8,Power Backup|Children Play Area|Lift|Garden|Jogging Track|24x7 Security|Club House|Gym,Raymond Realty,New Property,11-03-2024,239,No,Yes,0,No,Housing.com
RES100082,PROP502527,Ahmedabad,Gujarat,Satellite,Penthouse,5,5,5,2585,2973,3231,4126,10700000,107,Unfurnished,New Launch,29,34,17,South,5,24x7 Security|Children Play Area|Garden|Club House|Lift,Prestige Group,Resale,24-11-2025,240,Yes,Yes,1,Yes,Housing.com
RES100083,PROP503848,Ahmedabad,Gujarat,Vastrapur,Row House,2,2,3,1691,1945,2114,4475,7600000,76,Semi-Furnished,Ready to Move,1,6,22,North-East,8,Garden|Children Play Area|Gym|Power Backup|Jogging Track|Lift|Car Parking|Swimming Pool,Hiranandani,Resale,09-01-2023,146,Yes,Yes,1,No,99acres
RES100084,PROP505319,Lucknow,Uttar Pradesh,Zone I,Builder Floor,5,5,5,2809,3230,3511,4097,11500000,115,Unfurnished,Ready to Move,10,14,17,North-East,3,Children Play Area|Lift|Swimming Pool,Raymond Realty,New Property,14-04-2025,80,Yes,Yes,1,Yes,99acres
RES100085,PROP502041,Kolkata,West Bengal,Dumdum,Villa,3,3,4,1885,2168,2356,10042,18900000,189,Unfurnished,Under Construction,2,12,18,South-East,6,Swimming Pool|24x7 Security|Club House|Gym|Garden|Power Backup,Hiranandani,Resale,24-09-2023,385,Yes,Yes,1,No,Housing.com
RES100086,PROP504760,Indore,Madhya Pradesh,Zone A,Builder Floor,4,4,5,2400,2760,3000,4541,10900000,109,Unfurnished,Ready to Move,7,11,0,East,4,Swimming Pool|Garden|24x7 Security|Lift,Sobha Limited,Resale,15-10-2024,263,Yes,No,1,No,Housing.com
RES100087,PROP500117,Chennai,Tamil Nadu,Ambattur,Studio,5,5,5,2542,2923,3178,6817,17300000,173,Unfurnished,Ready to Move,2,3,4,North-East,8,Power Backup|Garden|24x7 Security|Car Parking|Lift|Children Play Area|Club House|Gym,Kolte Patil,Resale,06-01-2024,122,Yes,Yes,1,No,99acres
RES100088,PROP505345,Bhopal,Madhya Pradesh,Zone F,Penthouse,1,1,2,1327,1526,1659,4118,5500000,55,Semi-Furnished,Under Construction,33,34,9,East,3,Club House|Lift|Gym,Shapoorji Pallonji,New Property,07-05-2024,81,Yes,Yes,2,No,Housing.com
RES100089,PROP504593,Kochi,Kerala,Zone C,Builder Floor,2,2,3,1556,1789,1945,3753,5800000,58,Semi-Furnished,Ready to Move,25,29,0,South-East,8,Children Play Area|Car Parking|Jogging Track|Gym|Swimming Pool|24x7 Security|Lift|Club House,DLF,New Property,27-03-2022,53,Yes,Yes,1,Yes,NoBroker
