rental_id,property_id,city,state,locality,property_type,bhk,bedrooms,bathrooms,carpet_area_sqft,built_up_area_sqft,monthly_rent_inr,security_deposit_inr,deposit_months,maintenance_charges,total_monthly_cost,rent_per_sqft,furnishing_status,available_from,preferred_tenant,non_veg_allowed,pets_allowed,floor_number,total_floors,facing,parking,amenities_count,listing_date,broker_required,brokerage_percent,annual_rent_inr,listing_source
RNT200023,PROP502081,Pune,Maharashtra,Undri,Studio,3,3,4,2296,2640,26500,265000,10,0,26500,11.54,Semi-Furnished,01-10-2025,Working Professionals,No,No,22,23,South-West,No,7,07-03-2025,Yes,2,318000,99acres
RNT200024,PROP504654,Surat,Gujarat,Vesu,Studio,3,3,4,2542,2923,11500,57500,5,1500,13000,4.52,Furnished,22-06-2024,Bachelors,Yes,Yes,16,16,North,No,5,11-01-2023,Yes,0,138000,NoBroker
RNT200025,PROP504693,Surat,Gujarat,Udhna,Independent House,1,1,2,1076,1237,12500,62500,5,2000,14500,11.62,Unfurnished,25-10-2024,Any,Yes,Yes,2,3,North-West,Yes,7,12-05-2023,Yes,1,150000,Housing.com
RNT200026,PROP504054,Mumbai,Maharashtra,Malad,Builder Floor,3,3,4,2087,2400,78500,157000,2,2000,80500,37.61,Semi-Furnished,14-03-2024,Family,Yes,No,1,16,North-East,Yes,7,05-12-2024,Yes,1,942000,Owner
RNT200027,PROP500905,Delhi,Delhi,Connaught Place,Independent House,1,1,2,1004,1155,34000,340000,10,1500,35500,33.86,Semi-Furnished,09-06-2024,Working Professionals,Yes,No,4,40,North-West,No,3,11-05-2023,Yes,2,408000,MagicBricks
RNT200028,PROP500164,Indore,Madhya Pradesh,Zone J,Penthouse,2,2,3,1596,1835,11000,55000,5,2500,13500,6.89,Semi-Furnished,26-07-2024,Any,Yes,No,2,2,North-West,Yes,6,11-12-2025,Yes,0,132000,99acres
RNT200029,PROP501631,Delhi,Delhi,Rohini,Independent House,1,1,2,1624,1868,17500,105000,6,3500,21000,10.78,Semi-Furnished,27-03-2025,Any,No,No,16,21,West,Yes,4,05-02-2024,Yes,2,210000,NoBroker
RNT200030,PROP505145,Vadodara,Gujarat,Zone H,Row House,3,3,4,1967,2262,13000,130000,10,0,13000,6.61,Semi-Furnished,21-12-2024,Bachelors,Yes,Yes,3,25,West,Yes,7,22-11-2024,Yes,0,156000,Housing.com
RNT200031,PROP502230,Kolkata,West Bengal,Rajarhat,Villa,3,3,4,2218,2551,16500,82500,5,3000,19500,7.44,Semi-Furnished,25-10-2024,Any,Yes,Yes,2,26,North-East,No,7,08-04-2025,Yes,0,198000,99acres
RNT200032,PROP501983,Mumbai,Maharashtra,Borivali,Row House,2,2,3,1568,1803,62000,186000,3,0,62000,39.54,Semi-Furnished,28-07-2024,Any,Yes,No,20,21,South-West,Yes,3,11-07-2023,No,0.5,744000,MagicBricks
RNT200033,PROP500195,Vadodara,Gujarat,Zone C,Row House,2,2,3,1800,2070,9500,57000,6,2000,11500,5.28,Furnished,09-11-2024,Family,Yes,Yes,1,9,North-East,Yes,7,09-07-2024,No,1,114000,99acres
RNT200034,PROP503277,Pune,Maharashtra,Undri,Penthouse,2,2,3,1613,1855,28000,168000,6,1500,29500,17.36,Unfurnished,12-12-2025,Bachelors,Yes,No,31,34,North,Yes,3,24-12-2024,No,0.5,336000,Owner
RNT200035,PROP500035,Pune,Maharashtra,Kothrud,Builder Floor,3,3,4,2180,2507,32000,96000,3,2000,34000,14.68,Unfurnished,02-05-2024,Family,Yes,Yes,25,26,South-East,No,6,15-05-2025,Yes,0,384000,Owner
RNT200036,PROP505596,Bhopal,Madhya Pradesh,Zone C,Studio,2,2,3,1741,2002,14500,43500,3,0,14500,8.33,Semi-Furnished,15-10-2024,Bachelors,No,No,16,21,South-West,No,3,01-11-2023,No,0,174000,Housing.com
RNT200037,PROP504460,Bangalore,Karnataka,JP Nagar,Apartment,3,3,4,2072,2383,30000,90000,3,2500,32500,14.48,Unfurnished,28-09-2025,Working Professionals,Yes,Yes,28,39,South,Yes,4,23-03-2023,No,1,360000,NoBroker
RNT200038,PROP502685,Kochi,Kerala,Zone I,Apartment,5,5,5,3015,3467,14500,43500,3,3500,18000,4.81,Furnished,15-08-2025,Family,Yes,No,1,13,North-West,Yes,6,27-06-2024,No,0,174000,NoBroker
RNT200039,PROP501368,Surat,Gujarat,Katargam,Villa,5,5,5,2569,2954,21000,126000,6,0,21000,8.17,Unfurnished,12-01-2025,Bachelors,Yes,No,2,2,East,Yes,6,01-11-2025,Yes,0,252000,MagicBricks
RNT200040,PROP504774,Indore,Madhya Pradesh,Zone E,Studio,5,5,5,2365,2720,19500,117000,6,0,19500,8.25,Unfurnished,05-12-2024,Family,Yes,No,5,14,West,No,6,15-07-2023,No,0.5,234000,NoBroker
RNT200041,PROP505663,Surat,Gujarat,Pal,Row House,1,1,2,1392,1601,5000,25000,5,1500,6500,3.59,Furnished,04-07-2024,Working Professionals,No,No,2,2,North-East,No,7,11-11-2024,No,0,60000,MagicBricks
RNT200042,PROP501166,Pune,Maharashtra,Kothrud,Apartment,2,2,3,1845,2122,29500,88500,3,3000,32500,15.99,Unfurnished,08-01-2024,Working Professionals,No,Yes,21,26,North-West,Yes,3,18-07-2024,Yes,0.5,354000,MagicBricks
RNT200043,PROP501693,Delhi,Delhi,Lajpat Nagar,Independent House,3,3,4,2083,2395,37000,370000,10,3500,40500,17.76,Furnished,29-09-2025,Family,No,No,27,37,North,No,7,12-05-2024,No,0,444000,Owner
RNT200044,PROP504868,Jaipur,Rajasthan,C Scheme,Independent House,2,2,3,1582,1819,8500,42500,5,2500,11000,5.37,Furnished,14-06-2024,Any,Yes,Yes,7,10,North,No,5,04-01-2024,No,0,102000,MagicBricks
RNT200045,PROP504788,Pune,Maharashtra,Hadapsar,Studio,3,3,4,1928,2217,37500,225000,6,3000,40500,19.45,Furnished,10-08-2024,Any,No,Yes,2,17,East,No,6,12-08-2025,No,0,450000,NoBroker
RNT200046,PROP504568,Patna,Bihar,Zone E,Penthouse,2,2,3,1564,1799,12500,37500,3,3000,15500,7.99,Furnished,14-08-2024,Working Professionals,Yes,No,31,32,South,Yes,4,16-09-2025,No,0.5,150000,NoBroker
RNT200047,PROP502963,Delhi,Delhi,Dwarka,Studio,3,3,4,2180,2507,29000,145000,5,3000,32000,13.3,Semi-Furnished,09-04-2024,Bachelors,Yes,Yes,7,9,South-East,Yes,6,04-11-2025,No,0.5,348000,NoBroker
RNT200048,PROP501044,Indore,Madhya Pradesh,Zone J,Villa,4,4,5,2213,2545,17000,170000,10,2500,19500,7.68,Furnished,27-01-2024,Family,No,No,4,9,North-West,Yes,4,09-06-2025,No,1,204000,Owner
RNT200049,PROP505916,Delhi,Delhi,Connaught Place,Apartment,2,2,3,1643,1889,20000,60000,3,2000,22000,12.17,Unfurnished,01-07-2025,Bachelors,Yes,No,1,6,East,Yes,8,27-06-2023,No,0,240000,Owner
RNT200050,PROP504878,Indore,Madhya Pradesh,Zone F,Row House,2,2,3,1510,1736,11500,115000,10,1500,13000,7.62,Furnished,06-08-2024,Working Professionals,Yes,Yes,32,40,South,Yes,8,26-05-2024,No,2,138000,MagicBricks
RNT200051,PROP500809,Jaipur,Rajasthan,Pratap Nagar,Builder Floor,2,2,3,1626,1870,13500,135000,10,2500,16000,8.3,Semi-Furnished,15-06-2024,Working Professionals,Yes,No,12,18,South-East,Yes,5,19-04-2025,Yes,0,162000,MagicBricks
RNT200052,PROP500575,Delhi,Delhi,Janakpuri,Independent House,2,2,3,1641,1887,31500,189000,6,1500,33000,19.2,Furnished,05-05-2024,Bachelors,Yes,No,2,2,South-East,Yes,4,07-08-2025,No,1,378000,99acres
RNT200053,PROP503118,Kolkata,West Bengal,Howrah,Builder Floor,1,1,2,1101,1266,12500,62500,5,2000,14500,11.35,Semi-Furnished,03-06-2025,Bachelors,Yes,Yes,29,29,North,No,5,26-09-2024,Yes,0,150000,Owner
RNT200054,PROP503241,Kolkata,West Bengal,Rajarhat,Row House,5,5,5,2334,2684,30000,180000,6,2000,32000,12.85,Semi-Furnished,20-11-2024,Bachelors,Yes,No,1,3,North,Yes,8,20-03-2024,No,2,360000,NoBroker
RNT200055,PROP504011,Nagpur,Maharashtra,Zone C,Apartment,2,2,3,2029,2333,11500,34500,3,3500,15000,5.67,Semi-Furnished,22-02-2025,Working Professionals,No,No,10,17,North-West,Yes,7,06-07-2024,No,2,138000,Owner
RNT200056,PROP504801,Mumbai,Maharashtra,Powai,Villa,2,2,3,1740,2001,44500,445000,10,3500,48000,25.57,Furnished,02-09-2025,Any,No,No,2,10,South-East,Yes,7,12-11-2025,No,0,534000,99acres
RNT200057,PROP501124,Bhopal,Madhya Pradesh,Zone A,Villa,2,2,3,1665,1915,13500,81000,6,2500,16000,8.11,Semi-Furnished,09-06-2024,Working Professionals,Yes,No,1,12,South-East,No,4,26-02-2023,Yes,2,162000,Housing.com
RNT200058,PROP503812,Kochi,Kerala,Zone G,Studio,2,2,3,1740,2001,14500,43500,3,3000,17500,8.33,Semi-Furnished,09-06-2024,Bachelors,Yes,No,8,19,South-East,Yes,3,11-02-2025,Yes,2,174000,99acres
RNT200059,PROP501005,Coimbatore,Tamil Nadu,Zone H,Penthouse,2,2,3,1965,2260,12500,62500,5,1500,14000,6.36,Semi-Furnished,01-12-2024,Any,Yes,No,4,13,South,No,8,05-08-2023,Yes,1,150000,MagicBricks
RNT200060,PROP504683,Delhi,Delhi,Vasant Kunj,Row House,3,3,4,1842,2118,32000,96000,3,2500,34500,17.37,Furnished,17-04-2025,Any,No,Yes,33,40,West,Yes,7,16-07-2025,No,2,384000,Owner
RNT200061,PROP502873,Chennai,Tamil Nadu,Chromepet,Studio,3,3,4,2166,2491,17500,105000,6,2500,20000,8.08,Unfurnished,15-12-2025,Any,Yes,No,19,19,North,Yes,8,06-10-2025,Yes,1,210000,Housing.com
RNT200062,PROP505696,Bangalore,Karnataka,Electronic City,Studio,3,3,4,2012,2314,33000,66000,2,2500,35500,16.4,Semi-Furnished,27-05-2024,Family,Yes,No,26,28,East,No,4,31-10-2024,Yes,0,396000,NoBroker
RNT200063,PROP504802,Patna,Bihar,Zone E,Apartment,5,5,5,2344,2696,24000,72000,3,3500,27500,10.24,Semi-Furnished,25-05-2024,Family,Yes,No,5,12,North-West,No,8,24-12-2023,Yes,0.5,288000,NoBroker
RNT200064,PROP500818,Bhopal,Madhya Pradesh,Zone A,Studio,3,3,4,1941,2232,14000,84000,6,0,14000,7.21,Unfurnished,14-12-2024,Any,No,No,9,29,South-West,Yes,7,18-03-2024,Yes,0,168000,MagicBricks
RNT200065,PROP502305,Chennai,Tamil Nadu,Ambattur,Studio,2,2,3,1806,2077,24500,147000,6,3000,27500,13.57,Unfurnished,13-07-2025,Bachelors,No,No,3,33,South,Yes,7,05-12-2025,Yes,0.5,294000,99acres
RNT200066,PROP500907,Bangalore,Karnataka,Bellandur,Independent House,5,5,5,2675,3076,49000,147000,3,3000,52000,18.32,Unfurnished,16-12-2024,Family,Yes,No,8,13,North,Yes,6,21-06-2023,No,0.5,588000,Owner
RNT200067,PROP501522,Kochi,Kerala,Zone B,Independent House,3,3,4,2220,2553,15500,77500,5,2000,17500,6.98,Semi-Furnished,20-07-2024,Any,Yes,Yes,24,28,South-West,Yes,7,27-09-2025,Yes,1,186000,Housing.com
RNT200068,PROP505059,Bangalore,Karnataka,Hebbal,Villa,1,1,2,1111,1278,16000,48000,3,3000,19000,14.4,Furnished,07-09-2024,Any,No,No,7,8,East,Yes,4,19-12-2025,No,2,192000,99acres
RNT200069,PROP503260,Bhopal,Madhya Pradesh,Zone A,Independent House,2,2,3,1521,1749,16000,32000,2,2500,18500,10.52,Unfurnished,30-05-2024,Working Professionals,No,Yes,9,11,South,Yes,5,26-10-2023,No,0.5,192000,MagicBricks
RNT200070,PROP504440,Kolkata,West Bengal,Dumdum,Row House,3,3,4,2182,2509,25500,255000,10,3000,28500,11.69,Furnished,21-02-2025,Bachelors,No,No,9,11,South-East,Yes,4,23-08-2024,Yes,1,306000,99acres
RNT200071,PROP500039,Coimbatore,Tamil Nadu,Zone D,Builder Floor,1,1,2,1205,1386,14000,70000,5,2500,16500,11.62,Semi-Furnished,19-06-2024,Working Professionals,No,No,4,11,West,Yes,7,20-03-2023,No,0,168000,Housing.com
RNT200072,PROP505163,Jaipur,Rajasthan,Sanganer,Independent House,1,1,2,1410,1621,10500,31500,3,1500,12000,7.45,Semi-Furnished,06-05-2024,Family,Yes,No,8,22,South,No,3,08-10-2025,No,2,126000,NoBroker
RNT200073,PROP504229,Visakhapatnam,Andhra Pradesh,Zone D,Studio,4,4,5,2515,2892,19000,190000,10,2500,21500,7.55,Semi-Furnished,01-11-2024,Any,No,Yes,10,16,West,Yes,3,20-11-2025,Yes,1,228000,Owner
RNT200074,PROP501658,Hyderabad,Telangana,Madhapur,Villa,4,4,5,1911,2198,25500,127500,5,2000,27500,13.34,Furnished,26-08-2024,Family,No,No,3,15,North-East,Yes,5,27-11-2025,Yes,1,306000,Owner
RNT200075,PROP502160,Kolkata,West Bengal,Rajarhat,Row House,3,3,4,1849,2126,18000,54000,3,0,18000,9.73,Unfurnished,18-09-2025,Family,Yes,No,17,34,South-West,Yes,6,25-12-2024,Yes,0,216000,Owner
RNT200076,PROP501157,Hyderabad,Telangana,Madhapur,Studio,3,3,4,2009,2310,19500,39000,2,2500,22000,9.71,Semi-Furnished,10-08-2025,Any,Yes,No,9,22,North-East,Yes,6,17-05-2025,Yes,0.5,234000,Housing.com
RNT200077,PROP502252,Vadodara,Gujarat,Zone B,Villa,2,2,3,1720,1978,11000,66000,6,2000,13000,6.4,Semi-Furnished,14-11-2024,Bachelors,Yes,No,24,26,West,Yes,6,08-03-2023,No,0,132000,NoBroker
RNT200078,PROP502522,Coimbatore,Tamil Nadu,Zone F,Builder Floor,2,2,3,1891,2175,13000,78000,6,0,13000,6.87,Furnished,12-09-2024,Working Professionals,No,No,2,2,West,Yes,6,13-03-2024,Yes,2,156000,MagicBricks
RNT200079,PROP500638,Nagpur,Maharashtra,Zone H,Studio,4,4,5,2515,2892,15000,75000,5,0,15000,5.96,Unfurnished,19-10-2024,Bachelors,Yes,No,1,3,North,Yes,5,10-09-2024,No,2,180000,MagicBricks
RNT200080,PROP500224,Kochi,Kerala,Zone G,Builder Floor,5,5,5,2610,3001,20500,123000,6,1500,22000,7.85,Unfurnished,20-08-2025,Bachelors,Yes,Yes,17,26,South-West,Yes,7,10-06-2024,No,0.5,246000,MagicBricks
RNT200081,PROP500621,Nagpur,Maharashtra,Zone C,Penthouse,1,1,2,1252,1440,6500,65000,10,3500,10000,5.19,Semi-Furnished,15-03-2024,Family,No,Yes,6,7,East,No,6,14-03-2024,No,0,78000,NoBroker
RNT200082,PROP505125,Lucknow,Uttar Pradesh,Zone F,Villa,3,3,4,1856,2134,11000,22000,2,0,11000,5.93,Unfurnished,25-11-2024,Working Professionals,No,No,28,30,South-West,Yes,8,01-06-2023,Yes,0.5,132000,MagicBricks
RNT200083,PROP500867,Chennai,Tamil Nadu,Adyar,Studio,5,5,5,2666,3066,30000,180000,6,1500,31500,11.25,Furnished,04-01-2025,Working Professionals,No,Yes,24,24,South,Yes,3,29-03-2024,Yes,2,360000,Housing.com
RNT200084,PROP502742,Surat,Gujarat,Udhna,Penthouse,2,2,3,1370,1575,15500,155000,10,2000,17500,11.31,Semi-Furnished,17-06-2025,Family,Yes,Yes,8,13,South,Yes,6,06-12-2023,Yes,1,186000,99acres
RNT200085,PROP502073,Hyderabad,Telangana,Jubilee Hills,Apartment,2,2,3,1730,1989,21000,105000,5,2500,23500,12.14,Semi-Furnished,17-07-2025,Any,Yes,Yes,11,27,South,Yes,5,19-05-2025,No,0,252000,Owner
RNT200086,PROP502437,Lucknow,Uttar Pradesh,Zone J,Penthouse,3,3,4,1711,1968,13000,26000,2,1500,14500,7.6,Semi-Furnished,13-08-2025,Family,Yes,No,21,36,West,Yes,3,08-05-2024,No,0.5,156000,NoBroker
RNT200087,PROP504557,Delhi,Delhi,Hauz Khas,Penthouse,2,2,3,1829,2103,27000,81000,3,3000,30000,14.76,Furnished,19-08-2024,Bachelors,Yes,No,9,28,South,Yes,5,07-11-2025,No,1,324000,Owner
RNT200088,PROP501940,Surat,Gujarat,Althan,Villa,3,3,4,2255,2593,14000,42000,3,3000,17000,6.21,Semi-Furnished,26-01-2024,Family,No,No,24,39,North-East,Yes,6,31-08-2025,No,1,168000,Owner
RNT200089,PROP501957,Bangalore,Karnataka,Marathahalli,Independent House,1,1,2,1376,1582,18000,54000,3,3000,21000,13.08,Furnished,24-04-2024,Bachelors,Yes,No,6,8,South-West,Yes,5,12-07-2023,Yes,0,216000,Owner
RNT200090,PROP501415,Bhopal,Madhya Pradesh,Zone C,Apartment,2,2,3,1816,2088,11000,66000,6,1500,12500,6.06,Furnished,06-04-2024,Working Professionals,No,No,3,19,South-West,Yes,8,11-03-2025,No,0,132000,99acres
RNT200091,PROP500171,Mumbai,Maharashtra,Borivali,Row House,1,1,2,1549,1781,32500,65000,2,3000,35500,20.98,Furnished,27-12-2024,Working Professionals,Yes,No,12,12,North,Yes,5,09-01-2024,Yes,0,390000,NoBroker
RNT200092,PROP501338,Indore,Madhya Pradesh,Zone C,Villa,1,1,2,1466,1686,11500,57500,5,1500,13000,7.84,Semi-Furnished,14-08-2025,Bachelors,Yes,No,1,10,South-West,No,3,07-03-2024,No,1,138000,NoBroker
RNT200093,PROP505531,Bangalore,Karnataka,Sarjapur,Penthouse,2,2,3,1543,1774,23500,141000,6,1500,25000,15.23,Semi-Furnished,29-01-2024,Any,Yes,No,19,30,North-East,Yes,3,11-12-2024,No,2,282000,NoBroker
RNT200094,PROP500042,Lucknow,Uttar Pradesh,Zone C,Row House,4,4,5,2455,2823,17000,85000,5,2000,19000,6.92,Semi-Furnished,10-03-2024,Any,Yes,No,31,36,North-East,Yes,5,23-07-2025,Yes,2,204000,MagicBricks
RNT200095,PROP502465,Kolkata,West Bengal,Dumdum,Row House,2,2,3,1639,1885,20000,100000,5,3500,23500,12.2,Unfurnished,13-08-2025,Family,Yes,Yes,1,11,South-East,Yes,6,24-08-2025,No,2,240000,Owner
RNT200096,PROP503924,Kochi,Kerala,Zone E,Penthouse,1,1,2,1305,1501,11000,22000,2,2000,13000,8.43,Furnished,27-12-2024,Family,Yes,No,25,40,West,Yes,7,20-03-2024,Yes,0.5,132000,MagicBricks
RNT200097,PROP504025,Lucknow,Uttar Pradesh,Zone B,Penthouse,2,2,3,1563,1797,14500,72500,5,2500,17000,9.28,Semi-Furnished,31-01-2025,Bachelors,Yes,No,14,25,North-West,Yes,7,07-07-2024,Yes,2,174000,Housing.com
RNT200098,PROP505845,Ahmedabad,Gujarat,Paldi,Independent House,3,3,4,1979,2276,17500,35000,2,0,17500,8.84,Unfurnished,24-05-2025,Bachelors,Yes,No,26,34,North,No,8,22-03-2024,Yes,0,210000,Owner
RNT200099,PROP500325,Chandigarh,Chandigarh,Zone D,Studio,3,3,4,2387,2745,13500,135000,10,3500,17000,5.66,Furnished,12-02-2025,Family,No,No,11,21,East,Yes,8,10-10-2023,Yes,0.5,162000,Owner
RNT200100,PROP503886,Bangalore,Karnataka,HSR Layout,Row House,4,4,5,2605,2996,40500,405000,10,0,40500,15.55,Unfurnished,08-06-2025,Working Professionals,Yes,No,1,3,South-West,Yes,7,21-06-2023,No,0.5,486000,MagicBricks
RNT200101,PROP500719,Bhopal,Madhya Pradesh,Zone I,Villa,3,3,4,1897,2182,16000,160000,10,3500,19500,8.43,Unfurnished,08-01-2024,Bachelors,Yes,No,4,29,North-West,No,7,05-05-2023,No,1,192000,Owner
RNT200102,PROP500028,Vadodara,Gujarat,Zone G,Apartment,3,3,4,1789,2057,11500,34500,3,3000,14500,6.43,Unfurnished,15-07-2024,Working Professionals,Yes,Yes,5,9,South-East,Yes,5,11-02-2025,No,2,138000,Housing.com
RNT200103,PROP503327,Kolkata,West Bengal,New Town,Apartment,1,1,2,1582,1819,15000,150000,10,2000,17000,9.48,Furnished,05-03-2025,Family,Yes,No,2,4,South-East,Yes,6,19-10-2023,No,0.5,180000,MagicBricks
RNT200104,PROP504033,Hyderabad,Telangana,Miyapur,Studio,2,2,3,1406,1617,17000,85000,5,3500,20500,12.09,Unfurnished,02-06-2024,Family,No,No,2,3,South-West,Yes,5,19-03-2023,No,1,204000,Housing.com
RNT200105,PROP505686,Coimbatore,Tamil Nadu,Zone A,Villa,5,5,5,2301,2646,15500,93000,6,2500,18000,6.74,Semi-Furnished,27-01-2024,Family,Yes,Yes,1,10,South,Yes,8,25-06-2024,Yes,0,186000,NoBroker
RNT200106,PROP505065,Delhi,Delhi,Connaught Place,Apartment,1,1,2,1275,1466,15500,77500,5,2500,18000,12.16,Unfurnished,19-06-2025,Family,Yes,No,10,13,North-East,Yes,8,27-01-2024,No,0.5,186000,Owner
RNT200107,PROP500497,Nagpur,Maharashtra,Zone C,Villa,1,1,2,1482,1704,12500,25000,2,0,12500,8.43,Unfurnished,09-04-2025,Bachelors,Yes,Yes,2,14,South,No,3,21-07-2024,Yes,0,150000,NoBroker
RNT200108,PROP501981,Vadodara,Gujarat,Zone F,Penthouse,3,3,4,2069,2379,14500,29000,2,1500,16000,7.01,Semi-Furnished,15-03-2024,Any,Yes,No,5,5,East,Yes,5,08-09-2024,Yes,0,174000,Housing.com
RNT200109,PROP505117,Lucknow,Uttar Pradesh,Zone I,Row House,1,1,2,1497,1722,7000,35000,5,3000,10000,4.68,Unfurnished,17-08-2025,Family,Yes,No,8,17,South-East,Yes,4,18-10-2025,Yes,1,84000,NoBroker
