transaction_id,property_id,listing_id,city,state,locality,property_type,bhk,carpet_area_sqft,built_up_area_sqft,listed_price_inr,sale_price_inr,price_per_sqft,discount_percent,sale_date,sale_year,sale_quarter,stamp_duty_percent,stamp_duty_inr,registration_charges_inr,total_transaction_cost,transaction_type,financing_type,loan_amount_inr,builder_name,possession_status,age_of_property_years,yoy_price_appreciation_pct,cap_rate_percent,rera_registered,facing,floor_number,market_segment
TXN300067,PROP501161,RES102027,Coimbatore,Tamil Nadu,Zone J,Builder Floor,4,1888,2171,8000000,7620000,4036,4.79,2024-04-12,2024,Q2,5,381000,76200,8077200,Resale,Institutional,6307160,Tata Housing,Under Construction,14,5.75,4.06,Yes,South-East,6,Mid
TXN300068,PROP504765,RES101851,Kolkata,West Bengal,Rajarhat,Row House,2,1885,2168,17600000,16030000,8504,8.92,2025-01-10,2025,Q1,4,641200,160300,16831500,Resale,Cash,0,Shapoorji Pallonji,Ready to Move,22,5.27,4.87,No,South-West,11,Luxury
TXN300069,PROP503613,RES102038,Bangalore,Karnataka,Sarjapur,Apartment,3,1898,2183,16000000,15630000,8235,2.31,2022-10-07,2022,Q4,7,1094100,156300,16880400,New Property,NRI,12315192,Lodha Group,Ready to Move,17,9.41,6.48,No,North-East,16,Luxury
TXN300070,PROP503224,RES101592,Lucknow,Uttar Pradesh,Zone B,Apartment,1,1389,1597,4700000,4670000,3362,0.58,2023-03-25,2023,Q1,7,326900,46700,5043600,New Property,Institutional,3354438,Raymond Realty,Ready to Move,4,6.5,3.28,Yes,South-West,1,Affordable
TXN300071,PROP505459,RES106943,Kolkata,West Bengal,Behala,Row House,3,1674,1925,15000000,14270000,8524,4.85,2023-06-14,2023,Q2,5,713500,142700,15126200,Resale,Cash,10159629,Prestige Group,Ready to Move,2,5.18,4.79,Yes,West,10,Mid
TXN300072,PROP501900,RES101191,Bhopal,Madhya Pradesh,Zone I,Penthouse,1,1584,1822,6200000,5980000,3775,3.5,2024-03-22,2024,Q1,5,299000,59800,6338800,Resale,Cash,0,Phoenix Mills,New Launch,5,9.98,4.71,No,West,6,Mid
TXN300073,PROP505431,RES102642,Patna,Bihar,Zone G,Builder Floor,5,2546,2928,9700000,9360000,3676,3.47,2025-11-29,2025,Q4,7,655200,93600,10108800,New Property,NRI,0,Kolte Patil,Under Construction,11,3.4,5.37,Yes,North-West,1,Mid
TXN300074,PROP502096,RES100758,Visakhapatnam,Andhra Pradesh,Zone A,Apartment,3,2090,2404,9900000,9590000,4589,3.13,2023-01-10,2023,Q1,7,671300,95900,10357200,Resale,Cash,7621912,DLF,Ready to Move,0,6.49,5.62,Yes,East,24,Mid
TXN300075,PROP504845,RES101765,Indore,Madhya Pradesh,Zone J,Villa,2,1626,1870,6800000,6570000,4041,3.44,2022-12-13,2022,Q4,5,328500,65700,6964200,Resale,NRI,4953187,Mahindra Lifespaces,Ready to Move,12,9.11,3.82,No,East,16,Mid
TXN300076,PROP503752,RES105945,Pune,Maharashtra,Kharadi,Independent House,2,1550,1782,16300000,15390000,9929,5.61,2025-05-24,2025,Q2,7,1077300,153900,16621200,New Property,Institutional,0,Godrej Properties,Ready to Move,19,9.41,5.41,Yes,South,32,Luxury
TXN300077,PROP500836,RES100014,Pune,Maharashtra,Kharadi,Builder Floor,4,2698,3103,25600000,23080000,8554,9.84,2023-07-29,2023,Q3,5,1154000,230800,24464800,Resale,NRI,17433530,Brigade Group,Ready to Move,1,11.38,4.62,No,West,4,Luxury
TXN300078,PROP503352,RES102289,Jaipur,Rajasthan,Jagatpura,Row House,2,1890,2174,8500000,8030000,4249,5.58,2026-01-22,2026,Q1,4,321200,80300,8431500,New Property,Cash,5763034,Godrej Properties,New Launch,19,6.0,3.13,Yes,East,5,Mid
TXN300079,PROP504821,RES100669,Coimbatore,Tamil Nadu,Zone C,Villa,1,1379,1586,4800000,4560000,3307,4.97,2025-06-25,2025,Q2,7,319200,45600,4924800,New Property,NRI,3574648,Hiranandani,Under Construction,17,10.09,3.74,Yes,South,25,Affordable
TXN300080,PROP503488,RES100955,Nagpur,Maharashtra,Zone F,Row House,4,2452,2820,8600000,7750000,3161,9.93,2026-02-04,2026,Q1,6,465000,77500,8292500,Resale,Home Loan,0,Godrej Properties,Under Construction,14,-1.61,3.46,Yes,North-East,4,Mid
TXN300081,PROP500495,RES105827,Visakhapatnam,Andhra Pradesh,Zone H,Builder Floor,3,1964,2259,6100000,6090000,3101,0.11,2025-11-29,2025,Q4,5,304500,60900,6455400,New Property,NRI,4600079,Kolte Patil,Ready to Move,0,11.3,6.41,Yes,South,11,Mid
TXN300082,PROP504312,RES104702,Bhopal,Madhya Pradesh,Zone H,Apartment,3,1985,2283,7200000,6580000,3315,8.56,2023-11-16,2023,Q4,4,263200,65800,6909000,New Property,Institutional,4848838,Omaxe,Under Construction,7,8.54,3.79,Yes,North,11,Mid
TXN300083,PROP502308,RES102097,Kochi,Kerala,Zone D,Builder Floor,2,1720,1978,5000000,4590000,2669,8.13,2023-05-04,2023,Q2,7,321300,45900,4957200,Resale,Home Loan,3474922,Sobha Limited,New Launch,9,9.67,4.77,No,North-West,14,Affordable
TXN300084,PROP503726,RES100778,Hyderabad,Telangana,Jubilee Hills,Studio,1,1648,1895,11000000,10120000,6141,7.97,2025-11-05,2025,Q4,4,404800,101200,10626000,Resale,Cash,8410014,Omaxe,New Launch,14,7.43,3.26,Yes,East,16,Mid
TXN300085,PROP500204,RES102806,Delhi,Delhi,Rohini,Villa,2,1843,2119,14900000,14530000,7884,2.51,2026-02-16,2026,Q1,6,871800,145300,15547100,Resale,Institutional,0,Emaar India,Under Construction,15,10.7,2.61,Yes,West,2,Mid
TXN300086,PROP504690,RES100425,Visakhapatnam,Andhra Pradesh,Zone F,Row House,1,1678,1930,6700000,6420000,3826,4.13,2026-05-10,2026,Q2,5,321000,64200,6805200,Resale,Home Loan,4803282,Phoenix Mills,New Launch,21,3.07,3.31,Yes,North,11,Mid
TXN300087,PROP505147,RES102652,Bangalore,Karnataka,Sarjapur,Villa,3,2104,2420,16900000,15670000,7448,7.29,2024-04-18,2024,Q2,5,783500,156700,16610200,New Property,NRI,12986459,Mahindra Lifespaces,Ready to Move,4,4.74,6.34,No,North-West,11,Luxury
TXN300088,PROP501256,RES100835,Patna,Bihar,Zone B,Villa,1,2046,2353,7300000,6660000,3255,8.83,2025-02-25,2025,Q1,5,333000,66600,7059600,Resale,Cash,0,Tata Housing,Ready to Move,12,8.36,3.55,Yes,East,25,Mid
TXN300089,PROP503618,RES105246,Vadodara,Gujarat,Zone B,Studio,2,1630,1874,7300000,7140000,4380,2.25,2024-02-01,2024,Q1,4,285600,71400,7497000,Resale,Home Loan,5508280,Emaar India,Ready to Move,23,0.03,4.45,Yes,North,14,Mid
TXN300090,PROP502139,RES106433,Surat,Gujarat,Althan,Studio,1,1285,1478,5200000,5120000,3984,1.55,2023-11-03,2023,Q4,4,204800,51200,5376000,New Property,Home Loan,0,Kolte Patil,Under Construction,3,3.76,5.01,Yes,West,5,Mid
TXN300091,PROP500180,RES102831,Patna,Bihar,Zone I,Villa,3,2165,2490,7700000,7670000,3543,0.33,2023-03-12,2023,Q1,7,536900,76700,8283600,New Property,NRI,5464790,Emaar India,Ready to Move,6,4.6,4.28,No,West,18,Mid
TXN300092,PROP502569,RES101326,Lucknow,Uttar Pradesh,Zone B,Builder Floor,1,1316,1513,4300000,4070000,3093,5.24,2026-03-25,2026,Q1,5,203500,40700,4314200,New Property,NRI,0,Mahindra Lifespaces,New Launch,15,12.57,4.1,Yes,South,7,Affordable
TXN300093,PROP505545,RES105384,Chennai,Tamil Nadu,Chromepet,Row House,2,1726,1985,13500000,12570000,7283,6.91,2026-05-30,2026,Q2,6,754200,125700,13449900,New Property,Cash,10424558,Lodha Group,Under Construction,19,12.66,4.1,No,North-East,2,Mid
TXN300094,PROP501597,RES102061,Kolkata,West Bengal,Dumdum,Row House,1,1222,1405,10900000,10860000,8887,0.34,2024-09-01,2024,Q3,5,543000,108600,11511600,New Property,Home Loan,9007230,Omaxe,New Launch,16,6.59,3.03,Yes,South-West,19,Mid
TXN300095,PROP503342,RES100369,Chennai,Tamil Nadu,T Nagar,Penthouse,2,1478,1700,10600000,10000000,6766,5.63,2023-06-03,2023,Q2,4,400000,100000,10500000,Resale,NRI,8043176,Mahindra Lifespaces,Under Construction,17,8.26,3.73,Yes,South-East,21,Mid
TXN300096,PROP501229,RES101834,Patna,Bihar,Zone I,Row House,3,1635,1880,6100000,5810000,3554,4.69,2025-10-31,2025,Q4,5,290500,58100,6158600,New Property,Institutional,0,Brigade Group,Under Construction,20,5.24,3.04,Yes,South,6,Mid
TXN300097,PROP504263,RES106465,Bangalore,Karnataka,JP Nagar,Independent House,3,1767,2032,12600000,11810000,6684,6.26,2024-10-16,2024,Q4,7,826700,118100,12754800,New Property,NRI,9033561,Godrej Properties,Ready to Move,14,13.26,3.54,Yes,West,2,Mid
